company,client,nb_avis_client,date_commande,notes,titre_commentaire,commentaire,date_commentaire,reponse_sav,date_reponse_sav,delai_reponse_sav
Marionnaud,Nora Bun,1,2023-12-23,5,Un grand merci au service client…,Un grand merci au service client d'avoir tenu compte de mes différents mails d'insatisfactions.Vous êtes réactifs et prenez en considération nos plaintes.Merci pour l'envoi des échantillons et  du cadeau Passez de belles fêtes de Noël 🎄,2023-12-23,,,
Marionnaud,Barbie,3,2023-10-29,5,MEILLEUR SITE DE COSMÉTIQUES EN LIGNE,"Merci à Marionnaud pour les ristournes importantes et au chèque de fidélité. Merci à Marionnaud de proposer souvent des nouveautés et des marques moins connus, qui ne se trouvent parfois pas en boutiques, mais qui sont aussi efficaces que les grands marques. Site validé et recommandé",2023-12-22,,,
Marionnaud,Shogun,3,2023-12-16,3,J’ai commandé sur internet pour 193€,"J’ai commandé sur internet pour 193€. Livraison nickel. Aucun échantillons offerts alors que ses concurrents en offrent même pour des commandes moins importantes.Au final, terminé pour moi MARIONNAUD.",2023-12-22,,,
Marionnaud,dominique devincke,4,2023-12-07,5,Facile de passer une commande sur ce…,"Facile de passer une commande sur ce site , un choix énorme on est sur de'y trouver son bonheur Livraison sécurisée et rapide  Je recommande ce site n'hésitez pas vous ne serez pas déçu",2023-12-23,,,
Marionnaud,Christelle S,2,2023-12-19,5,Livraison rapide,"En voyant les avis sur les commandes non livrées, j'avoue que je craignais de ne pas avoir mon produit pour Noël. Mais aucun problème. J'ai fait ma commande vendredi dernier en choisissant l'option livraison rapide et j'ai été livrée aujourd'hui mardi. Et 4 échantillons dans mon colis d'une valeur modeste (33€) alors que de nombres enseignes n'en offrent même plus.",2023-12-19,,,
Marionnaud,Valérie,1,2023-12-20,1,Marionnaud France qui gâche le noël de…,"Marionnaud France qui gâche le noël de ses clients ! commande passée le 11/12/2023 et annulée par Marionnaud le 20/12/2023, a 3 jours Noël et refus de permettre de recommander au même prix que la 1ere commande alors que les produits sont dispo en click and collect, pas de cadeaux et pas d’argent car bloqué en ecarte cadeau sur leur site (j’avais payé en bon achat illicado) => vente forcée à un prix plus cher ! Et pour couronner le tout, la conseillère m’a black listé du tchat car je lui disais qu’un responsable pourrait autoriser la réduction pour que je recommande au même prix.Marionnaud 👎👎👎 voleurs vous avez gâché mon noël",2023-12-25,,,
Marionnaud,vivier,4,2023-07-08,5,Ravie !!,"commande sur internet et réponse de l'entreprise très bonne comme à chaque foisTout est parfait et je recommande !!!Quant aux produits commandés, je m'en sers depuis bien longtemps car très satisfaite.",2023-12-20,,,
Marionnaud,Nina,1,2023-11-24,5,Aucune plainte de mon côté,"Service efficace et personnel accueillant. Par ailleurs au vu de mon penchant médiocre à faire des emballages cadeaux passables, j'aimerai souligner que les talents d'emballage cadeau de dame m'ayant encaissé sont remarquables. Je recommande ce site. Je suis passée par le service click and collecte 1h impeccable. Le produit est conforme à se qu'on reçoit.",2023-12-14,,,
Marionnaud,DAOD NATHOO,3,2023-12-23,1,Honte !,"Commande passée le 8 décembre et annulé par leurs soins le 22 décembre à 2 jours de Noël ! Ma commande devait être retirée en boutique le 18/12 j’ai appelé le service client qui m’a dit que la préparation prenait plus de temps à cause de Noël mais que j’allais être livré. Au final à 2 jours de Noël on m’annule ma commande, sans aucune excuse. Seule solution aller en boutique ou chez les concurrents évidemment j’ai acheté chez eux pendant le black friday et à la veille de Noël il est donc impossible de trouver des remises ailleurs.",2023-12-23,,,
Marionnaud,veroauck,1,2023-12-15,3,Dans le magasin Marionnaud à Villabé,"Dans le magasin Marionnaud à Villabé, je suis toujours pleinement satisfait de mes achats et les vendeuses sont d'une grande compétence professionnelle. La vendeuse que j'ai rencontrée ce matin était la plus âgée, et je l'ai trouvée vraiment peu sympathique. J'espère ne pas avoir affaire à elle dans le futur, sinon je préférerais aller voir ailleurs car elle ne donne pas envie d'acheter.3 Etoiles pour les autres vendeuses.",2023-12-15,,,
Marionnaud,Christine Filliette,7,2023-12-06,5,Rien à dire ravie,J’ai eu un petit souci avec la commande et le service client a réagit très vite   Livraison rapide   Prix parfait moins cher qu’ailleurs,2023-12-18,,,
Marionnaud,A.M,1,2023-12-22,1,"Un conseil, fuyez tant qu’il est temps !","Un conseil si vous souhaitez assurer vos cadeaux de Noël, fuyez !Marionnaud propose des prix intéressants mais malheureusement impossible d’en profiter ils annulent sans remords vos commandes à la dernière minute. C’est une honte de ne pas savoir gérer ses stocks en 2023, quand on se sait pas faire on ne fait pas de site en ligne. Et bonjour le SAV, aucune sympathie et aucune empathie pour le client. A FUIR !!!",2023-12-22,,,
Marionnaud,Eric  LACOMBE,3,2023-12-18,5,J'adore mais pas que DIOR mais Marionnaud,Marionnaud est une entreprise à l'écoute ses parfums sont très bien présenté c'est un grand plaisir pour faire un cadeau sure de passer par Marionnaud,2023-12-18,,,
Marionnaud,Eloïse,14,2023-12-01,4,Je n ai pas reçu le produit cadeau…,"Je n ai pas reçu le produit cadeau annoncé , un échantillon de fond de teint givenchy qu il m aurait plus de rester Le reste de la commande me convient très bien",2023-12-21,,,
Marionnaud,ALLARD,10,2023-12-17,1,"commande avec remise exceptionnelle non reçue, sans motif valable","J'ai voulu bénéficier de l'offre du w end dernier (16-17 décembre) remise de 32%, j'ai passé commande pour un parfum. Commande validée, remise validée; mais hier le 19 je reçois un mail ; remboursement de votre commande, motif : ils n'ont pas pu m'envoyer ma commande ! La remise était elle trop importante ? elle était de 60€ environ,  j'imagine que c'est la raison, c'était trop beau pour être vrai; j'irai voir ailleurs, comme on dit; le plus ridicule dans tout ça, c'est qu'avec le parfum j'ai commandé un petit accessoire, moins de 6e, qui m'est envoyé par Chronopost ! cherchez l'erreur ! économie de 60€ d'un côté pour Marionnaud, mais coût d'un envoi express pour si peu",2023-12-21,,,
Marionnaud,Laura Lilou,7,2023-12-09,1,Service client déplorable !!!,Service client déplorable !!!! Ne répond jamais! 50 appels et aucune réponse ! Commande passé le 9 décembre et soit disant toujours en préparation! Plus jamais fuiez une belle et grosse arnaque ! Ils font faillite et ferment les uns après les autres! Vous avez intérêt a me rembourser ou je deposerai plainte !!!!,2023-12-22,,,
Marionnaud,Corine,5,2023-12-09,5,Très belle expérience,"Je cherchais des compléments de cadeaux pour mes proches, j'ai été très bien accueillie chez Marionnaud (Créteil Soleil). La conseillère est tellement gentille, souriante et efficace, j'ai passé un super moment dans ce magasin et bien sûr, j'ai trouvé le bonheur pour mes proches et aussi pour moi même. merci Marionnaud.",2023-12-10,"Bonjour Corine, Nous sommes ravis de constater que votre expérience chez Marionnaud Créteil Soleil a été à la hauteur de vos attentes et vous souhaitons une belle journée. Cordialement, Paul, de l'équipe Marionnaud",2023-12-12 13:06:50+00:00,2.0
Marionnaud,CDel,6,2023-11-23,5,Site attractif et facile d'utilisation,"Site attractif et facile d'utilisation. Les recherches de produits sont OK et les promotions s'appliquent parfaitement.Aussi pratique que d'aller en magasin Marionnaud, l'accueil des équipes en moins 😉. Donc pour moi, cela reste exceptionnel de commander sur le site internet de Marionnaud. J'ai d'ailleurs retiré ma commande en boutique 🥰.",2023-12-10,"Bonjour et merci beaucoup pour cet avis ! Très bonne journée !Cordialement, Marie, de l'équipe Marionnaud",2023-12-12 13:08:22+00:00,2.0
Marionnaud,Kibi,7,2023-12-16,4,Toutes les enseignes n’avaient pas le…,"Toutes les enseignes n’avaient pas le produit, impossible de se faire livrer dans l’enseigne de son choix. Frais pour aller le chercher en sus. Mis à part ça, belle promotion.",2023-12-22,,,
Marionnaud,Titi,4,2023-12-06,1,Avis marionnaud,J’ai commandé  un parfum j’ai attendu 2 semaine sous le statut en cours de préparation j’appelle le sav ils savent pas pourquoi il cherche même pas à savoir pourquoi c’est lamentable. Et au final le 21/12 marionnaud annule la commande on sais pas pourquoi ni comment.Je recommande pas ce site,2023-12-22,,,
Marionnaud,Zineb,11,2023-12-07,5,Au top !,"Merci à l'équipe Marionnaud de Nancy Houdemont, qui est toujours aussi professionnelle et agréable !",2023-12-25,,,
Marionnaud,petit jean-luc,2,2023-12-01,5,Livraison conforme et rapide,Livraison conforme et rapide.  Articles bien emballés. OK comme d'habitude,2023-12-23,,,
